time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1728906069413351200,177.38635107421874,-0.36274901032447815,-0.46479499340057373,-0.6829850077629089,0.4311720132827759,-1.9575183391571045,0.25449860095977783,1.774847388267517
1728906069423350000,177.39635009765624,-0.36354100704193115,-0.4650219976902008,-0.6824849843978882,0.43105098605155945,-1.9563037157058716,0.25295138359069824,1.7745376825332642
1728906069433348900,177.40634887695313,-0.3641650080680847,-0.46514999866485596,-0.6816970109939575,0.43163299560546875,-1.954113245010376,0.25237366557121277,1.7731975317001343
1728906069443347700,177.41634765625,-0.3649269938468933,-0.46503400802612305,-0.6807519793510437,0.43260401487350464,-1.9509954452514648,0.2522518038749695,1.7716482877731323
1728906069453346600,177.4263466796875,-0.3658060133457184,-0.4648280143737793,-0.6797839999198914,0.43360400199890137,-1.9476271867752075,0.2521023154258728,1.7702187299728394
1728906069463345400,177.43634545898436,-0.3664900064468384,-0.4647819995880127,-0.6788179874420166,0.4345879852771759,-1.9446079730987549,0.25199493765830994,1.7685035467147827
1728906069473344300,177.44634423828126,-0.36700499057769775,-0.4649519920349121,-0.677698016166687,0.43571799993515015,-1.9415853023529053,0.25194811820983887,1.7660973072052002
1728906069483343000,177.45634301757812,-0.36771801114082336,-0.46521198749542236,-0.6763740181922913,0.43689700961112976,-1.9381078481674194,0.2515215575695038,1.7634048461914062
1728906069493341700,177.466341796875,-0.36887800693511963,-0.4655100107192993,-0.6749259829521179,0.43783798813819885,-1.9342654943466187,0.25018545985221863,1.7610207796096802
1728906069503340500,177.47634057617188,-0.3702850043773651,-0.46603599190711975,-0.673488974571228,0.43830299377441406,-1.930840015411377,0.24777981638908386,1.7590175867080688
1728906069513339100,177.48633911132814,-0.3716380000114441,-0.4670119881629944,-0.6722729802131653,0.43798699975013733,-1.9289028644561768,0.24419455230236053,1.7575187683105469
1728906069523338000,177.496337890625,-0.37284401059150696,-0.4683839976787567,-0.6713410019874573,0.436924010515213,-1.9285542964935303,0.2396695762872696,1.756565809249878
1728906069533337300,177.50633740234375,-0.3737320005893707,-0.470086008310318,-0.6706849932670593,0.435342013835907,-1.9296824932098389,0.234731987118721,1.7558866739273071
1728906069543336000,177.5163359375,-0.37409499287605286,-0.4720749855041504,-0.6701769828796387,0.43365800380706787,-1.9318867921829224,0.23007795214653015,1.754824161529541
1728906069553334800,177.52633471679687,-0.37427398562431335,-0.4739049971103668,-0.6695290207862854,0.4325070083141327,-1.933452844619751,0.2263389527797699,1.753130316734314
1728906069563333600,177.53633374023437,-0.37451601028442383,-0.4753350019454956,-0.6686409711837769,0.4321019947528839,-1.9335912466049194,0.2236611396074295,1.7509173154830933
1728906069573332200,177.54633227539063,-0.37475600838661194,-0.47637298703193665,-0.6676350235939026,0.4323059916496277,-1.9326685667037964,0.22201739251613617,1.7484233379364014
1728906069583331000,177.5563310546875,-0.37492799758911133,-0.47711700201034546,-0.666562020778656,0.43299099802970886,-1.9310219287872314,0.2212626338005066,1.7456804513931274
1728906069593330000,177.56632983398438,-0.375016987323761,-0.477620005607605,-0.6655070185661316,0.4339810013771057,-1.9289911985397339,0.22120313346385956,1.7428922653198242
1728906069603328500,177.57632861328125,-0.3751929998397827,-0.47792598605155945,-0.6644960045814514,0.43504101037979126,-1.9266998767852783,0.22133991122245789,1.7403748035430908
1728906069613327400,177.5863273925781,-0.37560299038887024,-0.47815099358558655,-0.6635220050811768,0.43592599034309387,-1.9243223667144775,0.2211001217365265,1.7383160591125488
1728906069623326000,177.59632592773437,-0.3762179911136627,-0.47844600677490234,-0.6625530123710632,0.4365450143814087,-1.9220621585845947,0.22024473547935486,1.7365740537643433
1728906069633324800,177.60632470703126,-0.37696799635887146,-0.4788999855518341,-0.6614829897880554,0.43702200055122375,-1.9198060035705566,0.21884804964065552,1.7347526550292969
1728906069643323600,177.61632373046876,-0.3779129981994629,-0.4794810116291046,-0.6602669954299927,0.437406986951828,-1.9173613786697388,0.21690334379673004,1.7328263521194458
1728906069653322200,177.626322265625,-0.37912601232528687,-0.4801639914512634,-0.658964991569519,0.43757200241088867,-1.9148401021957397,0.21423904597759247,1.731073260307312
1728906069663321000,177.63632104492189,-0.38034799695014954,-0.4810529947280884,-0.6577619910240173,0.4373449981212616,-1.9130024909973145,0.2109641134738922,1.729600191116333
1728906069673319700,177.6463195800781,-0.38141900300979614,-0.48217999935150146,-0.6567280292510986,0.436724990606308,-1.9121302366256714,0.20727482438087463,1.7283504009246826
1728906069683318500,177.65631860351561,-0.38228800892829895,-0.48349401354789734,-0.6558570265769958,0.4358200132846832,-1.912116289138794,0.20340299606323242,1.7272309064865112
1728906069693317400,177.6663173828125,-0.3828499913215637,-0.4849259853363037,-0.6552240252494812,0.434688001871109,-1.9130494594573975,0.19965197145938873,1.7262836694717407
1728906069703316200,177.67631616210937,-0.38297900557518005,-0.4864940047264099,-0.6547979712486267,0.433461993932724,-1.9148987531661987,0.19628405570983887,1.7252298593521118
1728906069713314800,177.68631469726563,-0.3829970061779022,-0.48792698979377747,-0.6545090079307556,0.4322679936885834,-1.9168932437896729,0.19329890608787537,1.7243866920471191
1728906069723313700,177.69631372070313,-0.3831599950790405,-0.48903799057006836,-0.6543049812316895,0.4311769902706146,-1.9184784889221191,0.19063547253608704,1.7240134477615356
1728906069733312300,177.7063122558594,-0.3834890127182007,-0.48988398909568787,-0.6541010141372681,0.4302319884300232,-1.9195258617401123,0.18820932507514954,1.7239115238189697
1728906069743311000,177.71631103515625,-0.38398900628089905,-0.49045801162719727,-0.6539999842643738,0.4292849898338318,-1.9203002452850342,0.18591293692588806,1.7243624925613403
1728906069753310000,177.72631005859375,-0.38452398777008057,-0.4908910095691681,-0.6539490222930908,0.42838698625564575,-1.920932412147522,0.18380092084407806,1.725010633468628
1728906069763308500,177.73630859375,-0.3852039873600006,-0.49111199378967285,-0.6538580060005188,0.42766299843788147,-1.9210158586502075,0.18190668523311615,1.7257881164550781
1728906069773307400,177.74630737304688,-0.38611599802970886,-0.49107199907302856,-0.6536970138549805,0.4271309971809387,-1.9203605651855469,0.1801803708076477,1.7267533540725708
1728906069783306000,177.75630590820313,-0.3869909942150116,-0.49101701378822327,-0.6534429788589478,0.4267910122871399,-1.9194262027740479,0.17867805063724518,1.727419137954712
1728906069793304800,177.76630493164063,-0.387798011302948,-0.49097201228141785,-0.653082013130188,0.42666301131248474,-1.9182292222976685,0.177425354719162,1.7276995182037354
1728906069803303700,177.7763037109375,-0.3885680139064789,-0.4909529983997345,-0.652649998664856,0.42664599418640137,-1.9168957471847534,0.17627526819705963,1.727736234664917
1728906069813302300,177.78630224609375,-0.3893299996852875,-0.49096399545669556,-0.652197003364563,0.42663100361824036,-1.9155677556991577,0.17509423196315765,1.7277065515518188
1728906069823301000,177.79630102539062,-0.3901830017566681,-0.4909540116786957,-0.6517379879951477,0.4265649914741516,-1.9141714572906494,0.17376655340194702,1.7278059720993042
1728906069833299700,177.8062998046875,-0.39121100306510925,-0.4908689856529236,-0.651328980922699,0.42634400725364685,-1.9127434492111206,0.17216293513774872,1.7283174991607666
1728906069843298600,177.81629858398438,-0.39229100942611694,-0.4908350110054016,-0.6510059833526611,0.42588499188423157,-1.9116462469100952,0.17022797465324402,1.7291386127471924
1728906069853297200,177.82629711914063,-0.393095999956131,-0.491007000207901,-0.6507530212402344,0.4253309965133667,-1.9111863374710083,0.16833901405334473,1.729709506034851
1728906069863296000,177.8362958984375,-0.39344799518585205,-0.4913350045681,-0.6505540013313293,0.42493000626564026,-1.9112441539764404,0.16702577471733093,1.7297106981277466
1728906069873294600,177.84629467773436,-0.3934899866580963,-0.49165400862693787,-0.6504150032997131,0.42473599314689636,-1.9114891290664673,0.16635365784168243,1.7293888330459595
1728906069883293400,177.85629345703126,-0.3935390114784241,-0.4917680025100708,-0.6503540277481079,0.42465201020240784,-1.9115417003631592,0.16605056822299957,1.729297161102295
1728906069893292000,177.8662919921875,-0.3934740126132965,-0.491782009601593,-0.6504709720611572,0.4245150089263916,-1.9118977785110474,0.16602419316768646,1.7295039892196655
1728906069903291000,177.87629077148438,-0.3930410146713257,-0.4917910099029541,-0.6507769823074341,0.424439013004303,-1.9128080606460571,0.16661198437213898,1.729637861251831
1728906069913289500,177.88628955078124,-0.3923180103302002,-0.49171900749206543,-0.651203989982605,0.4245370030403137,-1.9139293432235718,0.16788752377033234,1.7296478748321533
1728906069923288300,177.89628833007814,-0.39168599247932434,-0.49141600728034973,-0.6516180038452148,0.42483600974082947,-1.9145485162734985,0.16951066255569458,1.7297823429107666
1728906069933287000,177.90628686523436,-0.3915509879589081,-0.49073100090026855,-0.6520339846611023,0.4251129925251007,-1.9143540859222412,0.17091472446918488,1.7307186126708984
1728906069943285800,177.91628564453126,-0.3917219936847687,-0.4898670017719269,-0.6525750160217285,0.4251219928264618,-1.914110779762268,0.17191007733345032,1.732473373413086
1728906069953284600,177.92628466796876,-0.39187198877334595,-0.4890030026435852,-0.6532739996910095,0.4249039888381958,-1.914308786392212,0.1727624535560608,1.7346174716949463
